Title,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
As Long as We Both Shall Live (2023),Japan,"Saimori Miyo was the unfortunate child of a loveless, arranged marriage. After her mother died, her father brought in his lover and her own daughter, Kaya. From then on, Miyo's life was reduced to that of a mere servant. Even worse, while Kaya inherited the family's psychic abilities, Miyo had none—she was truly the daughter with no merit.

After years of being treated like dirt, Miyo has learned to keep her head down, hide her pain, and obey every order. So, it comes as no surprise that she is arranged to be married to Kudo Kiyoka, a military captain rumored to be so cruel that he has driven away every one of his potential wives so far.

From a painful upbringing to a painful marriage, that's the future that awaits Miyo—or so she thought. Contrary to her expectations, her new husband is actually kind-hearted. What really awaits Miyo is a blissful, everlasting marriage full of happiness!

",Kanno Tomoe,"Imada Mio, Role: Saimori Miyo
Meguro Ren, Role: Kudo Kiyoka
Watanabe Keisuke, Role: Tsuruki Arata
Onishi Ryusei, Role: Takaihito
Maeda Oshiro, Role: Godo Yoshito
Takaishi Akari, Role: Saimori Kaya","Historical
 Romance
 Drama
 Fantasy",8.4,6537,https://mydramalist.com//726653-my-happy-marriage
One Smile Is Very Alluring (2016),China,"What is it that makes a man fall in love with a woman at first sight? Appearance? Aura? Wealth? NO, when campus prince and gaming expert student Xiao Nai first saw Bei Wei Wei, what made him fall in love was not her extraordinary beauty, but her slim and slender fingers that were flying across the keyboard and her calm and composed manner!!! Embarrassing, no?

At the same time, gaming expert Bei Wei Wei, at this time and place, is on the computer, methodically commanding a guild war and winning a perfect and glorious victory despite being at a disadvantage, and is completely unaware that cupid is nearby. Soon after, the basketball player, swimmer, all-around excellent student, and game company president,  Xiao Nai, uses both tactics on and off-line to take this beauty’s heart. Therefore, this romance slowly bloomed.

",Gu Man,"Angelababy, Role: Bei Wei Wei
Jing Bo Ran, Role: Xiao Nai
Janice Wu, Role: Xiao Ling
Tan Song Yun, Role: Er Xi
Li Qin, Role: Meng Yi Ran
Du Yu Chen, Role: Die Meng Wei Xing","Romance
 Youth
 Drama",7.9,12958,https://mydramalist.com//18916-one-smile-is-very-alluring
Seobok (2021),South Korea,"Former intelligence agent Ki Heon encounters the first-ever genetically mutated human clone, Seo Bok, who holds the secret to eternal life. For his final mission, Ki Heon is responsible for Seo Bok’s safe journey. They become embroiled in dangerous situations, as several forces desire the clone to suit their own agendas. 

",Yum Gyoo Hoon,"Gong Yoo, Role: Ki Heon
Park Bo Gum, Role: Seo Bok
Jo  Woo Jin, Role: Chief Ahn
Jang Young Nam, Role: Dr. Lim Se Eun
Park Byung Eun, Role: Shin Hak Seon
Kim Jae Geon, Role: Kim Cheon Woo","Action
 Thriller
 Mystery
 Sci-Fi",8.1,5113,https://mydramalist.com//31322-seo-bok
Irresistible Love: Secret of the Valet (2016),China,"A young Shu Nian is a lonely kid who is living in an orphanage, where he hopes to find a good family that loves him. This is when Xie Yan, the son of a real estate magnate, adopts him. He worked as a page boy for him until Xie Yan went abroad to study. Six years later, Xie Yan returns home when he is 25 years old and is reunited with Shu Nian. Shu's secret crush on Xie Yan is revealed and Chaos occurs. Xie not being able to handle the situation due to his tendency of homophobia, sents Shu away from his sight. Soon after, Xie Yan realizes that Shu Nian is the only one who can help stabilize his temperament and gradually realizes his true feelings for Shu. However, many obstacles will appear between them. Edit Translation English Türkçe Deutsch Español",Sun Cheng Zhi,"Wang Bo Wen, Role: Shu Nian
Meng Rui, Role: Xie Yan
Zhou Jun Chao, Role: Ke Luo
Li Na, Role: Xia Jun
He Ya Meng, Role: Jiang Yao
Liu Xia, Role: [Xie Yan's mother]","Romance
 Youth
 Drama",7.2,5771,https://mydramalist.com//18654-irresistible-love-secret-of-the-valet
BLEACH (2018),Japan,"Kurosaki Ichigo has always been able to see ghosts but this ability doesn't change his life nearly as much as his close encounter with Kuchiki Rukia, a Soul Reaper and member of the mysterious Soul Society. While fighting a Hollow, an evil spirit that preys on humans who display psychic energy, Rukia attempts to lend Ichigo some of her powers so that he can save his family. Much to her surprise, Ichigo absorbs every last drop of her energy. Now a full-fledged Soul Reaper himself, Ichigo quickly learns that the world he inhabits is one full of dangerous spirits, and along with Rukia, who is slowly regaining her powers, it's Ichigo's job to both protect the innocent from Hollows and to help the spirits themselves find peace. Edit Translation English Arabic Čeština magyar / magyar nyelv",Sato Shinsuke,"Fukushi Sota, Role: Kurosaki Ichigo
Sugisaki Hana, Role: Kuchiki Rukia
Miyavi, Role: Kuchiki Byakuya
Saotome Taichi, Role: Abarai Renji
Yoshizawa Ryo, Role: Ishida Uryu
Koyanagi Yu, Role:  Sado Yasutora","Action
 Comedy
 Supernatural",7.7,6106,https://mydramalist.com//19962-bleach
The Thieves (2012),South Korea,"A gang of South Korean thieves teams up with a Hong Kong crew to steal a diamond necklace from a heavily-guarded casino safe in Macau. As the cops close in, old betrayals — and misunderstandings — resurface.

",Lee Ki Chul,"Kim Yoon Seok, Role: Macao Park
Kim Hye Soo, Role: Pepsee
Lee Jung Jae, Role: Popie
Jun Ji Hyun, Role: Yenicall
Kim Soo Hyun, Role: Zampano
Kim Hae Sook, Role: Chewing Gum","Action
 Thriller
 Crime",7.8,8207,https://mydramalist.com//2193-the-thieves
Antique Bakery (2008),South Korea,"As an heir to the family fortune, Jin Hyuk has money, looks, and charm; everything except finding the love of his life. So he sets up a cake shop where women are sure to come. He hires Sun Woo, a talented patisserie who had a crush on Jin Hyuk back in high school. Along with an ex-boxing champion Gi Beom and a clueless bodyguard Su Young, the four unique and handsome young men stir up the quiet neighborhood at their cake shop, Antique. Although seemingly careless and happy, each of the four men has an unforgettable past that they are afraid to face, but their secrets slowly begin to unravel.

~~ Adapted from the manga ""Antique Bakery"" (西洋 骨董 洋菓子店) by Yoshinaga Fumi (よしながふみ). Edit Translation English Русский Türkçe Português (Brasil)",Min Kyu Dong,"Ju Ji Hoon, Role: Kim Jin Hyuk
Kim Jae Wook, Role: Min Sun Woo
Yoo Ah In, Role: Yang Ki Beom
Choi Ji Ho, Role: Nam Soo Young
Gillet Andy, Role: Jean-Baptise Evan
Kim Chang Wan, Role: Heensooyeom [White beard]","Food
 Thriller
 Mystery
 Comedy",7.4,10431,https://mydramalist.com//68-antique-bakery
A Frozen Flower (2008),South Korea,"Under the pressure of the Yuan Kingdom, the King of Goryeo is pressured to produce a successor to the throne. But the king is in love with his loyal general Hong Rim. After seriously pondering the issue, the king asks his lover Hong Rim to sleep with the Queen, with unexpected consequences. Edit Translation English 中文(台灣) Русский Türkçe",Historical,"Zo In Sung, Role: Hong Rim [Chief of King's guard]
Joo Jin Mo, Role: Gong Min [King]
Song Ji Hyo, Role: No Guk [Queen]
Hong Jong Hyun, Role: Geon Ryong Wi
Kwon Tae Won, Role: Jo Il Moon
Shim Ji Ho, Role: Seung Ki [Sub-Chief of King's guard]","Historical
 Romance
 Drama",7.3,10848,https://mydramalist.com//753-a-frozen-flower
Pandora (2016),South Korea,"A nuclear power plant is built in a peaceful small town in South Korea. All residents praise the nuclear power station for bringing new jobs and life to the quiet town except Jae Hyuk who lost his father and a brother due to a coolant exposure accident while working on the nuclear power plant. But now, he is forced to work in the station against his will. The nuclear power plant gradually corrodes, and one day, with an unexpected earthquake, old pipes in the nuclear power plant break and hydrogen gas explode. To stop the atomic explosion, Jae Hyuk goes into the nuclear power plant to save his beloved people. Will he save the ones he loves from the disaster? Will he come back alive?
",Thriller,"Kim Nam Gil, Role: Jae Hyeok
Kim Joo Hyun, Role: Yeon Ju
Jung Jin Young, Role: Pyeong Seop
Kim Young Ae, Role: Mrs. Seok [Jae Hyuk's mother]
Moon Jung Hee, Role: Jeong Hye
Kim Dae Myung, Role: Gil Seob","Thriller
 Drama",8.3,5777,https://mydramalist.com//12212-pandora-2015
A Year-End Medley (2021),South Korea,"A timely window into the lives of employees and guests alike at The Hotel Emros around New Year's. 

The Staff At Your Service: 
*The hotel manager is poised and an accomplished professional despite lacking confidence in her personal life.
*The hotel's young CEO is a man obsessed with even numbers. 
*Your room attendant/door porter is a new hire who just put aside her dream of becoming a musical actress. 

The Guests You're Bound To Notice: 
 * The young job applicant, despite preparing for five years for the public officer entrance exam, failed it. 
* A popular singer-songwriter and radio announcer who initially faced hardships before finding success. 
* A determined artist and his manager persevered through hard times that are finally coming to an end. 
* The familiar radio announcer with his jazz pianist fiancee darting around as they organize their wedding. 
* A plastic surgeon is known to sit in the lounge every Saturday, possibly awaiting his fateful love. 
* The tired man who made it home in time to attend his daughter's wedding.
* The fortune-teller who likes to use the hotel as his place of business. 
 * Two students, a swimmer, and a skater realize that they do indeed like each other.

",Kwak Jae Yong,"Han Ji Min, Role: Park So Jin
Lee Dong Wook, Role: Kim Yong Jin
Kang Ha Neul, Role: Kang Jae Yong
Im Yoon Ah, Role: Mo Soo Yeon
Won Jin Ah, Role: Baek Lee Young
Lee Hye Young, Role: Katherine","Comedy
 Romance
 Drama
 Melodrama",8.3,4855,https://mydramalist.com//697753-happy-new-year
My Beautiful Man: Eternal (2023),Japan,"The quiet, friendless ""loner"" at the bottom of the class falls in love at first sight with the overwhelmingly beautiful, ruthless and popular ""King"" Kiyoi. After graduating from high school and going through various ups and downs, Hira and Kiyoi have become lovers and live a happy cohabitation life in Hira's house. As his university graduation approaches, Hira starts working as an assistant to the popular photographer, Noguchi, and witnesses the work of a professional. He begins to distance himself from Kiyoi little by little, not wanting to get in the way of Kiyoi's expanding career as an actor. Hira who thinks of Kiyoi as a god-like and precious existence, and Kiyoi who wants to be ""normal"" lovers on an equal footing with Hira, despite thinking of each other, disagreements gradually start between them.

The spring when they met has passed, and after a hot summer, autumn deepened. The cold winter has been overcome and spring comes by again. The two start heading towards the season of graduation.

",Tsubota Fumi,"Hagiwara Riku, Role: Hira Kazunari
Yagi Yusei, Role: Kiyoi Sou
Takano Akira, Role: Koyama Kazuki
Ochiai Motoki, Role: Shitara Katsumi
Nimura Sawa, Role: Anna
Maeda Kentaro, Role: Kiriya Keisuke","Romance
 Youth
 Drama",8.3,5097,https://mydramalist.com//728667-my-beautiful-man-the-movie
The Divine Fury (2019),South Korea,"Yong Hoo lost his father in an accident when he was a child. Ever since then, he has distrusted and resented people. Now, he is a champion in martial arts.

He meets Priest An, who is an exorcist. They get involved in a case and must fight a powerful evil.

",Action,"Park Seo Joon, Role: Yong Hoo
Ahn Sung Ki, Role: Father Ahn
Woo Do Hwan, Role: Ji Shin
Park Ji Hyun, Role: Soo Jin
Jung Ji Hoon, Role: Ho Suk
Lee Seung Hee, Role: [Possessed Man]","Action
 Thriller
 Mystery
 Horror",8.0,8954,https://mydramalist.com//30565-the-divine-fury
Love Forecast (2015),South Korea,"When Joon Soo falls in love he tries to give everything to the girl. Even though he does all of that, he is the one that gets dumped. Hyun Woo works as a weathercaster. Unlike her beautiful appearance, she acts excessively and talks in a tough manner. A romance blooms between these two people.

",Park Jin Pyo,"Lee Seung Gi, Role: Kang Jun Soo
Moon Chae Won, Role: Kim Hyun Woo
Ryu Hwa Young, Role: Hee Jin
Park Eun Ji, Role: Cha Myung Sun
Park Soo Young, Role: Min A
Jung Joon Young, Role: Yum Hyo Bong / Andrew","Comedy
 Romance
 Drama",7.3,6721,https://mydramalist.com//10510-love-forecast
Unforgettable (2016),South Korea,"When a letter and cassette tape from 23 years ago show up at a radio station, the radio DJ and his old friends reminisce on the bittersweet summer they last spent together as kids. Every summer, Soo Ok patiently waits for her friends Beom Sil, San Dol, Gae Deok, and Gil Ja to arrive back to their home town island. This summer is filled with fun, romance, and tragedy.

",Romance,"Doh Kyung Soo, Role: Beom Shil
Kim So Hyun, Role: Soo Ok
Yun  Joon Suk, Role: San Dol
David Lee, Role: Gae Deok
Joo Ah Reum, Role: Gil Ja
Park Yong Woo, Role: Hyeong Joon / Beom Shil [Adult]","Romance
 Drama
 Melodrama",8.2,6661,https://mydramalist.com//13740-unforgettable
Paradise Kiss (2011),Japan,"Hayasaka Yukari is a high school student who has become tired of her life of constant schooling. She then comes across a group of student fashion designers in need of a model for their ""Paradise Kiss"" clothing label. Yukari knows nothing about the fashion world and is taken back by the group's eccentric ways, but she soon comes to admire their free thinking ways and ability to pursue their dreams with a one track mind.

",Bando Kenji,"Mukai Osamu, Role: Jouji 'George' Koizumi
Kitagawa Keiko, Role: Yukari 'Caroline' Hayasaka
Yamamoto Yusuke, Role: Tokumori Hiroyuki
Omasa Aya, Role: Sakurada Miwako
Kaku Kento, Role: Nagase Arashi
Igarashi Shunji, Role: Yamamoto Isabella","Business
 Comedy
 Romance
 Drama",7.8,11468,https://mydramalist.com//1037-paradise-kiss
Honey (2018),Japan,"Kogure Nao is a shy and cute high school student. One day, Onise Taiga asks her ""would you like to date with me on the promise that we will get married?"" Nao is unable to turn down his proposal because she is scared of him. Taiga has red hair and piercing eyes. His appearance gives off the impression that he is a bad boy, but he is actually considerate to others and good at cooking. After getting to know Taiga, Nao begins to have feelings for him.

~~ Adapted from the manga ""Honey"" (ハニー) by Meguro Amu (目黒あむ). Edit Translation English Italiano Polski magyar / magyar nyelv",Shintoku Kouji,"Hirano Sho, Role: Onise Taiga
Taira Yuna, Role: Kogure Nao
Takahashi Yu, Role: Kogure Sosuke
Yokohama Ryusei, Role: Misaki Ayumu
Mizutani Kaho, Role: Yashiro Kayo
Asakawa Nana, Role: Nishigaki Miyabi","Comedy
 Romance
 Youth",7.5,5059,https://mydramalist.com//23705-honey
One Week Friends (2017),Japan,"Kaori Fujimiya is always alone because all of her happy memories, including time spent with her friends, disappear every Monday. Deciding that he wants to be friends with her anyway, Yuuki Hase tries to get close to Kaori each week, wishing that she would one day call him ""a friend.""

",Murakami Shosuke,"Yamazaki Kento, Role: Hase Yuki
Kawaguchi Haruna, Role: Kaori Fujimiya
Uesugi Shuhei, Role: Kujo Hajime
Takahashi Haori, Role: Yamagishi Saki
Matsuo Takashi, Role: Kiryuu Shogo
Furuhata Seika, Role: Kondo Mayu","Psychological
 Romance
 Life
 Youth",7.9,5297,https://mydramalist.com//16935-one-week-friends
"Say ""I Love You"" (2014)",Japan,"For years, Tachibana Mei is a 16-year-old student who has lived without having a boyfriend or any friends. Mei, neither talks to nor trusts anybody, she preferred being on her own with a mind focused only on school and her part-time job. Due to being sexually harassed by her classmate, Nakanishi Kenji, she mistakenly kicks Kurosawa Yamato, the handsome and popular boy in her school. Sparked by sudden interest and the need to clear things out, Yamato gave his mobile number to Mei. One night, Mei noticed she was being stalked and calls Yamato for help. Yamato came right away and repels the stalker by kissing Mei on her lips. With that sudden kiss, Mei begins to open up and gradually learns how to trust and love. 

",Male Chases Female First,"Kawaguchi Haruna, Role: Tachibana Mei
Fukushi Sota, Role: Kurosawa Yamato
Nagase Tasuku, Role: Nakanishi Kenji
Nishizaki Rima, Role: Asami Oikawa
Adachi Rika, Role: Muto Aiko
Yamamoto Ryosuke, Role: Tachikawa Masashi","Romance
 Youth
 Drama",7.4,9375,https://mydramalist.com//7706-say-i-love-you
Little Forest (2018),South Korea,"Hye Won gets tired of her difficult life in the city and moves back to her hometown in the countryside. There, she heals her emotional wounds with the help of her long-time friends, nature and food.

~~ Adapted from the manga series “Little Forest” (リトル・フォレスト) by Igarashi Daisuke (五十嵐大介). Edit Translation English 한국어 中文(简体) 日本語",Im Soon Rye,"Kim Tae Ri, Role: Song Hye Won
Ryu Joon Yeol, Role: Jae Ha
Jin Ki Joo, Role: Joo Eun Sook
Moon So Ri, Role: [Hye Won's mother]
Jung Joon Won, Role: Hoon Yi
Jeon Guk Hyang, Role: Aunt Bok Sun","Food
 Life
 Drama",8.4,5744,https://mydramalist.com//20376-little-forest
Battle Royale (2000),Japan,"A group of ninth-grade students from a Japanese high school have been forced by legislation to compete in a Battle Royale. The students are taken to an abandoned island, each given a bag with a randomly selected weapon and a few rations of food and water and sent off to kill each other in a no-holds-barred (with a few minor rules) game to the death, which means that the students have three days to kill each other until one survives--or they all die. Edit Translation English 中文(简体) Русский Português (Brasil)",Fukasaku Kinji,"Fujiwara Tatsuya, Role: Nanahara Shuya
Maeda Aki, Role: Nakagawa Noriko [Girl #15]
Yamamoto Taro, Role: Kawada Shougo [Boy #5]
Beat Takeshi, Role: Kitano [Teacher]
Shibasaki Ko, Role: Souma Mitsuko [Girl #11]
Ando Masanobu, Role: Kiriyama Kazuo [Boy #6]","Action
 Adventure
 Thriller
 Horror",7.9,9892,https://mydramalist.com//144-battle-royale
Miss & Mrs. Cops (2019),South Korea,"Mi Yeong, who used to be considered the Major Crimes Unit’s top cop, is stationed behind a desk after having a baby. She leads uneventful yet peaceful days at handling civil complaints and looking after her son and unemployed husband at home. 
One day, an overly enthusiastic detective Ji Hye, is consigned to Mi Yeong’s team, and they bicker over every little thing from the moment they meet. In fact, they are sisters-in-law, and neither are happy about sitting next to each other all day in the same office. But differences are pushed aside when a woman who came to file a report gets run over in front of Mi Yeong and Ji Hye. They discover that the woman is the victim of ‘spy cam porn’ and has been threatened it would go up on a community site in 3 days. 
The two cops take the case to the relevant powers, but due to workload, no one can handle it in time. Ji Hye’s burning passion for justice rekindles Mi Yeong’s sense of duty, and the two decide to take matters into their own hands.

",Action,"Ra Mi Ran, Role: Park Mi Young
Lee Sung Kyung, Role: Jo Ji Hye
Yoon Sang Hyun, Role: Jo Ji Chul
Choi Soo Young, Role: Yang Jang Mi
Yeom Hye Ran, Role: [Department head]
Wi Ha Joon, Role: Woo Joon","Action
 Mystery
 Comedy",8.2,5295,https://mydramalist.com//28653-girl-cops
Method (2017),South Korea,"A veteran actor and an idol are starring together in a play called 'Unchain'. In the play, their characters become involved in a relationship and as they rehearse, the distance between reality and fiction starts to get blurry.

",Min Ye Ji,"Park Sung Woong, Role: Jae Ha
Oh Seung Hoon, Role: Young Woo
Yoon Seung Ah, Role: Hee Won
Ryu Tae Ho, Role: Won Ho
Kim Beom Joon, Role: [Young Woo's manager]
Lee Min Woong, Role: [Management director]","Psychological
 Romance
 Drama",7.5,10033,https://mydramalist.com//25564-method
Love the Way You Are (2019),China,"This movie follows the sweet and sour love between the daring and kind-hearted Zhou Lin Lin and Fang Yu Ke, the socially awkward boy next door.  They leave their village and begin studying animal husbandry at university. Throw a  manipulative beauty who hates losing a conquest and a flirtatious bad boy into the mix and watch what unfolds.

",Zhou Tong,"Vivian Sung, Role: Zhou Lin Lin
Song Wei Long, Role: Fang Yu Ke
Lin Yan Rou, Role: Ye Ru Ting
Huang Jun Jie, Role: Xie Xiao Xi
Sean Lin, Role: Jun Ji
Xu Yi Teng, Role: Wei Feng","Comedy
 Romance
 Youth",7.9,5024,https://mydramalist.com//34193-love-the-way-you-are
Postman to Heaven (2009),South Korea,"A single postbox stands alone in a wide field. It is postbox where many people who have lost their loved ones drop in letters for those in heaven. Ha Na is one of those people who comes again to mail a letter. She meets a young man called Jae Joon there. He tells Ha Na that he is the 'postman to heaven' and proposes that she help him with his work. His job is to convey letters and heal the hearts of the senders. As Ha Na spends time with him, her emotional scars are healed and the two of them seem attracted to each other. However, at that moment, Ha Na realises that Jae Joon has a big secret. Why is he working as a postman? 

",Lee Hyung Min,"Han Hyo Joo, Role: Jo Ha Na
Kim Jae Joong, Role: Shin Jae Joon
Shin Goo, Role: Choi Geun Bae
Kim Chang Wan, Role: Lee Moon Gyo
Lee Doo Il, Role: Goo Dae Bong
Joo Jin Mo, Role: Woon Jeon Soo [God]","Romance
 Drama
 Fantasy
 Melodrama",7.9,7047,https://mydramalist.com//1083-postman-to-heaven
Extreme Job (2019),South Korea,"A drug squad consists of 5 detectives: Detective Squad Chief Go, Detective Jang, Detective Ma, Detective Young Ho, and Detective Jae Hoon. The team attempts to take down a criminal organization and they must go undercover to do so. The detectives begin work as employees at a chicken restaurant, but the chicken restaurant becomes famous for its delicious chicken. Due to the restaurant's unexpected popularity, the detectives find themselves in a situation they never expected. Edit Translation English Русский Français Italiano",Lee Byung Hun,"Ryu Seung Ryong, Role: Go Sang Gi
Lee Ha Nee, Role: Jang Yeon Soo
Jin Seon Kyu, Role: Ma Bong Pal
Lee Dong Hwi, Role: Kim Young Ho
Gong Myung, Role: Kim Jae Hoon
Shin Ha Kyun, Role: Lee Moo Bae [Drug dealer]","Action
 Mystery
 Comedy
 Crime",8.4,9302,https://mydramalist.com//28134-extreme-job
Close Range Love (2014),Japan,"Kururugi Yuni is a smart high school student. She excels in all subjects except for English. A new English teacher begins work at Yuni's high school. His name is Sakurai Haruka and he is very handsome. Yuni begins to receive one-on-one tutoring from Mr. Sakurai Haruka. Soon, Yuni develops feelings for her teacher and she realizes that she is now in love. Yuni then confesses to her teacher. 

~~ Adapted from the manga by Mikimoto Rin. Edit Translation English 한국어 日本語 Русский",Kumazawa Naoto,"Yamashita Tomohisa, Role: Sakurai Haruka
Komatsu Nana, Role: Kururugi Yuni
Mizukawa Asami, Role: Takizawa Mirei
Kotaki Nozomu, Role: Matoba Ryu
Yamamoto Mizuki, Role: Nanami Kikuko
Arai Hirofumi, Role: Akechi Kazuma","Romance
 Youth",7.5,9929,https://mydramalist.com//9795-close-range-love
Bring the Soul: The Movie (2019),South Korea,"Following their landmark “Love Yourself” tour, BTS triumphantly returns to cinema screens in BRING THE SOUL: THE MOVIE. Shining brighter than any light on the stage, now the group invite us behind the spotlight.

On the day following the final concert of their Europe tour, on a rooftop in Paris, BTS tells their very own stories, from experiencing new cities to performing in front of thousands of ARMY across the globe. A glimpse into BTS’ world away from the stage, featuring intimate group discussions alongside spectacular concert performances from the tour, this is a cinema event not to be missed. The journey of BTS continues!

",Park Joon Soo,"V, Role: Himself
Park Ji Min, Role: Himself
Jin, Role: Main Role
RM, Role: Himself
Suga, Role: Himself
J-Hope, Role: Himself","Music
 Documentary",9.2,6274,https://mydramalist.com//38433-bring-the-soul-the-movie
"The Gangster, the Cop and the Devil (2019)",South Korea,"Jang Dong Soo is a gang boss in Cheonan. He becomes the target of a serial killer, Kang Kyung Ho,  but ultimately survives the attack. He is the only person to have ever survived from an attack by this serial killer. Detective Jung Tae Seok hates organized crime but is forced to work with Jang Dong Soo in order to catch the serial killer. Edit Translation English Español Türkçe magyar / magyar nyelv",Action,"Ma Dong Seok, Role: Jang Dong Soo
Kim Mu Yeol, Role: Jung Tae Seok
Kim Sung Gyu, Role: Kang Gyung Ho
Yoo Seung Mok, Role: Ahn Ho Bong
Choi Min Chul, Role: Gwon Oh Sung
Kim Yoon Sung, Role: Bae Soon Ho","Action
 Thriller
 Mystery
 Crime",8.2,5430,https://mydramalist.com//30354-villain-story
Peninsula (2020),South Korea,"Peninsula takes place four years after the zombie outbreak in Train to Busan. The Korean peninsula is devastated and Jung Seok, a former soldier who has managed to escape overseas, is given a mission to go back and unexpectedly meets survivors.
",Yeon Sang Ho,"Kang Dong Won, Role: Han Jung Seok
Lee Jung Hyun, Role: Min Jung
Lee Re, Role: Joon Yi
Kwon Hae Hyo, Role: Kim Noh In
Lee Ye Won, Role: Yoo Jin
Kim Min Jae, Role: Sergeant first class Hwang","Action
 Horror
 Drama",7.5,10827,https://mydramalist.com//32646-peninsula
The Wailing (2016),South Korea,"Within a seemingly peaceful village, a rash of mysterious and violent deaths suddenly occur. Police conclude poisonous wild mushrooms are to blame. Officer Jong Goo hears a rumour involving  a nearby olderJapanese man who is widely suspected by the villagers. While investigating, Jong Goo finds a witness who can place this man at the scene of the crimes. Jong Goo's belief about this man’s innocence begins to waver.
 To his despair, his own daughter experiences the same symptoms as the others did  prior to death. He heads out to find his prime suspect’s mountain home, as an exorcism is taking place on his daughter. 
The smell of death lingers strongly in the air. Edit Translation English magyar / magyar nyelv dansk Norsk",Thriller,"Kwak Do Won, Role: Jong Goo 
Hwang Jung Min, Role: Il Gwang 
Kunimura Jun, Role: [Foreigner / Japanese man]
Chun Woo Hee, Role: [Mysterious woman]
Kim Hwan Hee, Role: Hyo Jin
Heo Jin, Role: [Jong Goo's mother-in-law]","Thriller
 Mystery
 Horror
 Supernatural",7.8,5501,https://mydramalist.com//10923-the-wailing
The Pirates 2: The Last Royal Treasure (2022),South Korea,"Join the adventure of a ship of murderous but merry misfits as they troll the deep blue sea for sunken treasure belonging to the royal family. 

Former bandit leader Woo Moo Chi and his right-hand man Kang Seob prefer a life aboard a ship. Captain Hae Rang and her motley crew set sail to lay claim to the bounty only to face some unwelcomed competition from Bu Heung Soo. 

",Chun Sung Il,"Kang Ha Neul, Role: Wu Mu Chi
Han Hyo Joo, Role: Hae Rang
Lee Kwang Soo, Role: Mak Yi
Kwon Sang Woo, Role: Boo Heung Soo
Chae Soo Bin, Role: Hae Geum
Oh Se Hun, Role: Han Goong","Action
 Adventure
 Historical
 Comedy",8.0,6468,https://mydramalist.com//32760-the-pirates-2
Love for Beginners (2012),Japan,"Hibino Tsubaki is a young teenage girl with a talent for styling other people's hair. Yet, Tsubaki suffers from low self-esteem and isn't very comfortable styling her own hair. She also has a tendency to dress old-fashioned. She's teased at high school because of this.
One day, popular male student Tsubaki Kyota targets Tsubaki for teasing. Tsubaki Kyota holds sway over the entire classroom and is quite a playboy. Inexplicably they fall in love. Meanwhile, Tsubaki Kyota has commitment issues. Edit Translation English 한국어 日本語 Русский",Furusawa Takeshi,"Takei Emi, Role: Hibino Tsubaki
Matsuzaka Tori, Role: Tsubaki Kyota
Shinkawa Yua, Role: Hibino Sakura [Tsubaki's younger sister]
Yamazaki Kento, Role: Hasegawa Nishiki
Aoyagi Sho, Role: Hananoi
Murakami Hiroaki, Role: Tsubaki Keita","Romance
 Youth",7.4,8281,https://mydramalist.com//4296-love-for-beginners
Sweet & Sour (2021),South Korea,"Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive. Jang Hyuk is a man who wants to have both work and love with his girlfriend, Da Eun, and Bo Young is a woman he meets in a new environment. It is a refreshing romantic comedy about the complicated relationships between three people who are experiencing different emotions.

",Lee Kye Byuk,"Jang Ki Yong, Role: Jang Hyuk
Chae Soo Bin, Role: Jeong Da Eun
Krystal Jung, Role: Han Bo Yeong
Lee Woo Je, Role: Lee Jang Hyeok
Go Gyu Pil, Role: [Incheon Juan General Hospital resident doctor]
Choi Hyung, Role: [Incheon Juan General Hospital doctor]","Comedy
 Romance
 Melodrama",7.5,12169,https://mydramalist.com//40743-sweet-and-sour
Midnight (2021),South Korea,"A life-threatening hide-and-seek between a psychopathic killer and a deaf woman

Kyeong Mi, a girl with hearing impairment lives with her mother. Working at the customer call center, one day she storms out of an unpleasant dinner with the client and drives home after she picks up her mother. Meanwhile, the murderer Do Shik spots Kyeong Mi's mother waiting for her daughter who went to park her car but changes his target when another girl So Jung passes him by talking on the phone. So Jung gets stabbed by Do Shik in the back alley and is found by Kyeong Mi, who ends up becoming Do Shik’s new prey.

",Action,"Jin Ki Joo, Role: Kim Kyung Mi / [Announcer's voice]
Wi Ha Joon, Role: Do Shik
Park Hoon, Role: Jong Tak
Kil Hae Yeon, Role: [Kyung Mi's mother]
Kim Hye Yoon, Role: So Jung
Jung Won Chang, Role: [Police 3]","Action
 Thriller
 Mystery",8.4,11009,https://mydramalist.com//40349-midnight
Night in Paradise (2021),South Korea,"Hiding out on Jeju Island following a brutal tragedy, a wronged mobster with a target on his back connects with a woman who has demons of her own. 

",Action,"Uhm Tae Goo, Role: Park Tae Goo
Jeon Yeo Been, Role: Kim Jae Yeon
Cha Seung Won, Role: Director Ma
Lee Gi Young, Role: Kuto [Jae Yeon's uncle]
Park Ho San, Role: Gang Boss Yang
Lee Moon Shik, Role: Chief Park","Action
 Thriller
 Crime
 Drama",8.0,5533,https://mydramalist.com//65415-paradise-evening
