Title,Year,Country,Synopsis,Director,Actors,Genres,Rating,Number of Raters,URL
The Blood of Youth (2022),2022,China,"As a disciple of the Lei Clan, Lei Wu Jie can't wait to prove his worth as a hero, but as a novice who has only just entered the martial arts world, the path to becoming a true hero is difficult, at best. Undeterred by the challenges that lay before him, Wu Jie makes his way to the great city of Xue Yue, certain that his time there will mould him into the hero he so longs to be. Unfortunately, his trip to Xue Yue is waylaid by an unfortunate mishap at the Villa of Fallen Snow. 

As proprietor of the Villa, Xiao Se has all the looks of a wealthy innkeeper, but he can barely afford to keep the inn open. Struggling with his business, Xiao Se is less than pleased when his establishment is damaged by the antics of a young, wannabe hero. Demanding that he make amends for the damage he caused, Wu Jie can think of only one way to appease the grumpy Xiao Se, and that is to take him with him. With no other options, the two set off together without any idea of what fate has in store for them.

Befriending several people along the way, including Wu Xin, Sikong Qian Luo, Tang Lian, and Ye Ruo Yi, Xiao Se and Wu Jie soon find themselves caught up in an adventure far greater than any of them could have imagined. While facing countless dangers, the group stumbles upon a trail of clues that tie one of them to a battle for the throne that took place over a decade ago. The question is, is the intrepid hero ready and willing to take his rightful place as the leader of the people? And where will the brotherhood go from there?

",Yin Tao,"Li Hong Yi, Role: Xiao Se / Xiao Chu He / Prince Yong An
Liu Xue Yi, Role: Wu Xin / Ye An Shi
Ao Rui Peng, Role:  Lei Wu Jie
Lin Bo Yang, Role: Sikong Qian Luo
Flora Dai, Role:  Ye Ruo Yi
Li Xin Ze, Role: Tang Lian","Wuxia
 Youth
 Fantasy",8.9,4810,https://mydramalist.com/683119-shao-nian-ge-xing
Kamisama no Ekohiiki (2022),2022,Japan,"Amano Yashiro has a crush on his best friend, Nanahara Kenta. Yashiro died in a car accident after being rejected by Kenta. However, due to God's favoritism, Yashiro was reborn as a female student called Tendo Kagura and lived a new life. Yashiro decides to make use of his girly look to have Kenta fall for him. While Yashiro and Kenta become closer, they are interrupted by Kenta's ex-girlfriend, Torii Rin, who tells ""Kagura"" to stay away from Kenta. Furthermore, it was discovered that Yashiro's body is still alive. What is actually happening?

",Matsumoto Yusaku,"Fujiwara Taiyu, Role: Amano Yashiro | Tendou Kagura
Sakurada Hiyori, Role: Tendou Kagura | Amano Yashiro
Kubozuka Airu, Role: Nanahara Kenta
Myra, Role: Torii Rin
Furukawa Yuki, Role: Kami-sama
Matobu Sei, Role: Amano Ema","Comedy
 Romance
 Drama
 Fantasy",7.9,3685,https://mydramalist.com/694265-kamisama-no-ekohiiki
"Your Highness, the Class Monitor (2019)",2019,China,"It follows Gu Zi Chen, the rebellious son of a wealthy family, and Su Nian Nian, the competitive student who has to adjust to a school that she never wanted. Because of an accidental meeting, the two start a relationship of constant bickering and eventually fall in love.

Su Nian Nian has set her sights on top-tier schools like Beijing University and Tsinghua University. A traffic accident causes her to be late and it ultimately results in her failing to gain admission. She gets into an engineering university in a small city and in this ordinary school full of problem students, Su Nian Nian has to assure herself that her stay is temporary. She runs into Gu Zi Chen, the culprit- who she thinks, is behind her current conundrum.

",Romance,"Niu Jun Feng, Role: Gu Zi Chen
Xing Fei, Role: Su Nian Nian
Liu Yu Hang, Role: Ye Xing Yu
Yang Xin Ying, Role: Song Yu Xi
Li Yi Ling, Role: Yin Chu Xia
Wang Yi Zhou, Role: Zhao Ming Yuan","Romance
 Youth",7.6,3523,https://mydramalist.com/24374-your-highness-the-class-monitor
Dark Hole (2021),2021,South Korea,"About a group of survivors who have to fight for their lives against mutants that are created when humans breathe mysterious dark smoke from a sinkhole.

Lee Hwa Sun is a police detective in the Seoul regional investigation unit. Lee Hwa Sun’s life is turned upside down when she receives a phone call from her husband’s murderer, telling her to come to “Mujishi.” However, the people in Mujishi have been transformed into monsters after breathing in a mysterious dark smoke. Lee Hwa Sun must not only fight to survive but also battle her fear in order to capture her husband’s murderer.

Yoo Tae Han is a native of Mujishi and a wrecked car driver. He has a carefree personality and likes to joke around, but he has a strong sense of justice. He quit being a police officer due to a scandal caused by a misunderstanding, but he is proud of his days in the force. When he meets Lee Hwa Sun in the chaos of Mujishi, he devotes his life to saving others from danger.

",Jung Yi Do,"Kim Ok Bin, Role: Lee Hwa Sun
Lee Joon Hyuk, Role: Yoo Tae Han
Park Keun Rok, Role: Choi Seung Tae
Oh Yu Jin, Role: Han Dong Rim [Student]
Song Sang Eun, Role: Kim Seon Nyeo / ""Sunnyeo"" / ""Madame Kim""
Lee Ye Bit, Role: Jung Do Yoon","Action
 Thriller
 Horror
 Sci-Fi",7.6,3897,https://mydramalist.com/53097-dark-hole
The Good Wife (2016),2016,South Korea,"A husband works as a successful prosecutor and his future appears bright, but he gets arrested for corruption in a political scandal. His wife who worked as an attorney prior to their marriage, now resumes her career after a 13 year hiatus. She begins to find her true identity.

",Lee Jeong Hyo,"Jeon Do Yeon, Role: Kim Hye Kyung
Yoo Ji Tae, Role: Lee Tae Joon
Yoon Kye Sang, Role: Seo Jung Won
Kim Seo Hyung, Role: Seo Myung Hee [Co-CEO of MJ Law Firm / Jung Won's older sister]
Lee Won Keun, Role: Lee Joon Ho [MJ Law Firm Lawyer / Hye Kyung's rival]
Nana, Role: Kim Dan [MJ Law firm investigator]","Law
 Romance
 Drama
 Political",8.1,1988,https://mydramalist.com/16851-the-good-wife
Roommate (2020),2020,Thailand,"When their moms force them into a shared living situation, two university students try to reconcile their growing feelings for each other.
 
",Jaturong Yuankrathok,"Golf Witchayapong Krungsrimuang, Role: Sky
Game Chusak Thu-Naa, Role: James
Aomponds Naruemol Torlum, Role: Smile
Mook Thanika Inchan, Role: Maprang
Bell Kotchaphan Puagpipat, Role: Jumpuk [Item Clinic Manager]","Romance
 Youth
 Drama",6.6,2817,https://mydramalist.com/64797-roommate
Cambrian Period (2017),2017,China,"Tang Ying is an innocent, naive girl who, after a failing acting career, decides to start afresh by traveling to Nanzhan Bu Island (South Island) and becoming a surrogate shopper. However, all is not what it seems. Due to the popularity of the island and the tax-free and visa-free policies in place there, it has attracted the attention of many criminal syndicates/gangs who are looking to invest in the island due to the prospect of making an insane amount of money and the secret war between the gangs and the police brewing there.

By accident, Tang Ying becomes embroiled in the war, as well as meeting two different men who are on opposite sides of this war: Jian Zi, who is a juvenile killer, and the handsome male police commissioner Li Yong Ji. In the shadow of death, gangs and a variety of cases involving trade in the black market, will Tang Ying be able to pull through?

",Action,"Neo Hou, Role: Jian Zi
Zhou Yu Tong, Role: Tang Yin
Mike He, Role: Li Yong Ji
Fu Long Fei, Role: Mai Quan Cheng
Chin Han, Role: Zhan Shi Li
Nita Xia, Role: Cai Jia Yi","Action
 Thriller
 Mystery
 Romance",8.0,2303,https://mydramalist.com/23492-cambrian-period
"Saimdang, Light’s Diary (2017)",2017,South Korea,"Seo Ji Yoon is an art history lecturer who has devoted the best years of her life to earning her Ph.D. and working under her mentor, department chairman Min Jung Hak, in the hopes of being named a full-time professor at her university.

When Jung Hak entrusts Ji Yoon to write the thesis for his find-of-the-century historical painting, “An Gyeon’s Mount Geumgang,” Ji Yoon is ecstatic and finally feels like she is about to earn her professorship. But in a matter of days, her whole world comes crashing down around her.

First, her husband, Jung Min Seok, suddenly becomes a fugitive when his company comes under investigation, and the Russian Mafia comes after him for dirty money, forcing Ji Yoon, her son, and her mother-in-law, Kim Jung Hee, to be kicked out of their home. Then, Ji Yoon’s career comes to a crashing halt when grad student Han Sang Hyun publicly challenges the authenticity of the Mount Geumgang painting, and Ji Yoon does not adequately defend Jung Hak’s reputation.

An enraged Jung Hak has Ji Yoon fired and ostracized from the art history community. At the bottom of her life, Ji Yoon discovers the secret diary of Shin Saimdang (1504-1551), a Korean artist, writer, calligraphist, and poet who was the mother of Yi I, one of the two most prominent Korean Confucian scholars during the Joseon Dynasty. 

The diary sheds new light on the life of Saimdang, her relationship with painter Lee Gyeom, and the Mount Geumgang painting.  With the help of Sang Hyun and her best friend, Go Hye Jung, an antiquities researcher, can Ji Yoon get her life and career back?

",Park Eun Ryeong,"Lee Young Ae, Role: Seo Ji Yoon / Shin Saim Dang
Song Seung Heon, Role: Lee Gyeom
Oh Yoon Ah, Role: Choi Whieum Dang
Yoon Da Hoon, Role: Lee Won Soo
Park Hye Soo, Role: Seo Ji Yoon / Shin Saim Dang [Young]
Yang Se Jong, Role: Han Sang Hyun / Lee Gyeom [Young]","Historical
 Mystery
 Romance
 Melodrama",7.8,1972,https://mydramalist.com/13657-saimdang-lights-diary
Sunshine of My Life (2021),2021,China,"Tang Ming Xuan, a dedicated general manager of Ming Yuan Fashion Group, is committed to his work, determined to remain single to focus on his career. His life takes a turn when he meets Mo Fei, a vibrant young woman passionate about traditional embroidery and preparing to study in Europe. Despite their strong connection, they both stick to their predetermined plans: she heads to Paris, and he stays in China to focus on his business. However, fate has other plans, bringing them back together as business partners and potentially something more.

",Tien Jen Huang,"Zhang Han, Role: Tang Ming Xuan
Xu Lu, Role: Mo Fei
Hong Yao, Role: Fang Xiao Yu
Wang Rui Zi, Role: Xia Xue Ling
Jerron Wu, Role: Mo Fan [Mo Fei's brother]
Zhang Tian Ying, Role: Lu Zhu [Ming Xuan's cousin]","Business
 Romance
 Life
 Drama",8.1,4410,https://mydramalist.com/39519-if-you-re-well-it-s-a-fine-day
The Best of You in My Mind (2020),2020,China,"Lin Xi Chi is a college student majoring in veterinary medicine. She is well-liked and known for being bright and cheerful, although, on the inside, she is more insecure than she would like to let on. Also attending the same university is her childhood friend, avid archer, and national defense student Xu Fang. He has had a crush on Lin XI Chi since they were both at school but has never plucked up enough courage to let her know. Although he can be quick-tempered with others, he always treats Lin Xi Chi with great tenderness.

When she loses a bet connected to an arm-wrestling bout, Lin Xi Chi has to forfeit a month’s living costs – a twist of fate that brings the two ex-school friends closer together than ever. And one evening, their friendship is turned upside down when Xi Chi gets drunk, and long-suppressed emotions suddenly come to the fore.

",Zhao Xia Ying,"Gala Zhang, Role: Xu Fang
Ireine Song, Role: Lin Xi Chi
Leslie Ma, Role: Nie Yue
Guo Xin Yu, Role: Jiang Zheng Xu
Qu Jing Jing, Role: He Li Yang
Li Chung Lin, Role: Ye Shao Wen","Comedy
 Romance
 Life
 Sports",8.1,5272,https://mydramalist.com/35325-the-best-of-you-in-my-mind
Heavenly Sword and Dragon Slaying Sabre (2019),2019,China,"This is the last part of the trilogy which began with Legend of the Condor Heroes and continued in Return of the Condor Heroes. Heavenly Sword and Dragon Slaying Sabre took place nearly 100 years after the events of Return of the Condor Heroes in a China ruled by the Mongolian Yuan Dynasty. 
Legend said that whoever obtains the Heavenly Sword and Dragon Slaying Saber can rule the world. Zhang Wuji was orphaned at a young age by schemes to discover the secrets of these two weapons. Despite his preference to live a non-violent life, Wuji found himself embroiled in the struggles for power and must fight to save himself and others he loves.

~~ Adapted from the novel by Jin Yong (Louis Cha). ",Jeffrey Chiang,"Joseph Zeng, Role: Zhang Wuji
Chen Yu Qi, Role: Zhao Min
Zhu Xu Dan, Role: Zhou Zhi Ruo
Lin Yu Shen, Role: Yang Xiao
Hou Rui Xiang, Role: Chen You Liang [Elder of the Beggar gang]
Yang Yi Wei, Role: Zhou Dian","Romance
 Wuxia",8.2,2276,https://mydramalist.com/22656-heavenly-sword-and-dragon-saber
Love You Seven Times (2023),2023,China,"Xiang Yun was originally a cloud, but was later transformed into a fairy by the Red Thread Master and worked in the Marriage Pavilion. Xiangyun volunteered to help her master to find Immortal Chu Kong, the God of War, a marriage partner but later got caught auctioning his marriage. The two quarrelled and accidentally messed up the red thread of fate, leading to an entanglement between the two that last for several lifetimes. However, their fate started way earlier, in a memory that both of them didn't have.

",Li Nan,"Ding Yu Xi, Role: Chu Kong / Lu Chang Kong
Yang Chao Yue, Role: Xiang Yun / Cang Hai / Song Xiang Yun / Yang  Xiao Xiang
Edward Zhang, Role: Hao Xuan [Heavenly Emperor]
Xing Ze, Role: Xiu Ming
Lin Bo Rui, Role: Jin Lian / Qian Ren / Jin Cheng
Zhai Xiang Yang, Role: Zi Hui / Qian Mou","Romance
 Wuxia
 Drama
 Fantasy",8.4,4198,https://mydramalist.com/68185-the-seventh-generation
The Fox's Summer Season 2 (2017),2017,China,"Gu Cheng Ze is the CEO of the Gu Mall Corporation. His adopted family has tasked him with the job of grooming their biological son, Gu Jin Yu, to take over the reins of the family corporation. The family also wants Cheng Ze to separate Jin Yu from his ex-girlfriend, fashion designer Li Yan Shu, who works for the company. Will Cheng Ze use this opportunity to win over the heart of Yan Shu for himself instead?

",Comedy,"Tan Song Yun, Role: Li Yan Shu
Jiang  Chao, Role: Gu Cheng Ze
Daniel Zhang, Role: Gu Jin Yun
Wang Yan Zhi, Role: Han Jun Yao
Ji Xiao Bing, Role: Gao Yang [Cheng Ze's secretary]
Pu Tao, Role: Qiao Na [Gao Yang's girlfriend]","Comedy
 Romance",7.8,4483,https://mydramalist.com/23364-the-foxs-summer-season-2
Brain Works (2023),2023,South Korea,"Shin Ha Ru works as a neuroscientist. He comes from a family that has had doctors for 3 generations and he is wealthy from inherited property. Shin Ha Ru is a confident person who acts and speaks according to his convictions, but he has no mercy for people he views as scum.

Geum Myung Se works as a detective. He acts and speaks surly around people, which causes people unfamiliar with him to assume he might be a corrupt cop. In reality, Geum Myung Se is a kind and righteous detective. He was also once married to Kim Mo Ran. She has a particularly strong libido.

Shin Ha Ru and Geum Myung Se solve criminal cases together with help of Hypnotic Investigator Seol So Jung.

",Park Kyung Soon,"Jung Yong Hwa, Role: Shin Ha Roo
Cha Tae Hyun, Role: Geum Myung Se
Kwak Sun Young, Role: Sul So Jung
Ye Ji Won, Role: Kim Mo Ran
Jung Dong Hwan, Role: Hwang Dong Woo
Woo Hyun, Role: Kim Kil Joong","Mystery
 Comedy",8.0,1823,https://mydramalist.com/728207-brain-collaboration
The Slave Hunters (2010),2010,South Korea,"Chuno follows the story of Lee Dae Gil, a man of high birth, whose family was ruined when Won Ki Yoon, a slave, burnt down his house and escaped with his sister, Un Nyun, who was in love with Dae Gil. Driven by his desire for revenge, he survived his harsh years on the street and made his name as a slave hunter, dedicated to his pursuit to find Un Nyun, his first and only love. Song Tae Ha is a General of the Army who became a slave after being falsely accused of a crime he did not commit and finds himself on the run from Dae Gil's relentless pursuit. Both men become entangled in a love triangle with Un Nyun, who is no longer a runaway slave, but Kim Hye Won, a nobleman's daughter. ",Kwak Jung Hwan,"Jang Hyuk, Role: Lee Dae Gil
Lee Da Hae, Role: Un Nyun / Kim Hye Won
Oh Ji Ho, Role: Song Tae Ha
Lee Jong Hyuk, Role: Hwang Cheol Woong
Gong Hyung Jin, Role: Eop Bok
Kim Ji Suk, Role: Wang Son [Dae Gil's subordinate]","Action
 Historical
 Romance
 Drama",8.0,3345,https://mydramalist.com/137-chuno
Single’s Inferno Season 3 (2023),2023,South Korea,"Stranded and ready to mingle, flirty singles search for love on a deserted island they can only escape as couples for romantic date nights in paradise.

",Romance,"Hong Jin Kyung, Role: Main Host
Lee Da Hee, Role: Main Host
Cho Kyu Hyun, Role: Main Host
Jung Han Hae, Role: Main Host
DEX, Role: Main Host
Kim Gyu Ri, Role: Regular Member",Romance,7.9,4160,https://mydramalist.com/748117-single-s-inferno-season-3
Hit the Spot (2022),2022,South Korea,"A warm, friendly, considerate person, Hee Jae is surrounded by people who claim to know and love her. The problem for Hee Jae is that she isn’t really sure if she really understands herself. On the other hand, Mi Na is Hee Jae's confident and energetic best friend and colleague at Play Books, a supplier of books and related products centered around sex and romance. While an expert in how to achieve physical pleasure, her understanding falls short on romantic relationships. When they find themselves told to take over hosting a sex and romance advice podcast, the two feel more than a little lost.

Having never experienced an orgasm or explored her own sexuality beyond routine, lifeless intercourse with her boyfriend of five years, Hee Jae isn’t the most qualified person to be hosting a sex advice podcast. Trapped in a loveless routine of emotionally detached, no strings attached casual sex, Mi Na is hardly one to ask for advice on committed romantic relationships. With no one else able to take over the program, though, they really don’t have a choice. 

Suddenly thrust into a world she doesn’t understand, Hee Jae finds herself opening up to new ideas and starts to explore her own body and seek out new experiences. Fed up with cycling through men who only satisfy her body and nothing more, Mi Na, too, desperately wants things to change.

Pooling their lifetime of experiences and newfound knowledge, Mi Na and Hee Jae decide to make a major life change by opening a sex counseling service together. Working to help others find personal satisfaction, will these friends find the satisfaction they both so crave?

",Romance,"Ahn Hee Yeon, Role: Son Hee Jae
Bae Woo Hee, Role: Lee Mi Na
Park Sun Ho, Role: Kang In Chan
Choi Kwang Rok, Role: Cha Woo Jae
Choi Woong, Role: Hyeon Woo [Hee Jae's boyfriend]
Hong Seok Cheon, Role: Mr. Shim","Romance
 Drama
 Mature",8.3,5574,https://mydramalist.com/736293-their-report-card
Goedam (2020),2020,South Korea,"When night falls on this city, shadows and spirits come alive in this horror anthology series focused on urban legends.

",Hong Won Gi,"Song Chae Yun, Role: {Crack} Park Seo Hui
Jung Young Ki, Role: {Destination} [Taxi driver]
Joo Bo Bi, Role: {Destination} [Free road ghost]
An So Jin, Role: {Special Guest} Sae Rom
Seola, Role: {Curiosity} Min Young | {Dimension}
Lee Hyun Joo, Role: {Curiosity} Ji See Hee | {Dimension}","Thriller
 Horror
 Psychological
 Supernatural",6.5,3821,https://mydramalist.com/66691-goedam
Broker (2021),2021,China,"In a tale of scientific intrigue and romance, Qiu Jia Ning is a dedicated researcher in a prominent pharmaceutical company, determined to make groundbreaking discoveries. Zhou Xiao Shan, a new addition to the team, captures her attention with his keen intellect. Likewise, Jia Ning's beauty and expertise disrupt Xiao Shan's focused pursuits. However, hidden beneath his quiet exterior, Xiao Shan is a broker with ulterior motives to steal Jia Ning's research. As their paths intertwine, can she be the one to change him?

",Fei Hui Jun,"Victoria Song, Role: Qiu Jia Ning
Luo Yun Xi, Role: Zhou Xiao Shan
Xu Kai Cheng, Role: Qin Bin
Sun Jia Yu, Role: Mo Li
Jiang Xue Ming, Role: Yuan Wen Zhao
Ding Yi Yi, Role: Qiu Jia Xin","Adventure
 Business
 Romance
 Medical",7.3,1223,https://mydramalist.com/32006-broker
Missing: The Other Side Season 2 (2022),2022,South Korea,"3 Gongdan is a village where missing deceased people, including Kang Eun Sil and Oh Il Yong, stay. Meanwhile, Kim Wook, Jang Pan Seok, Lee Jong A, and Detective Shin Joon Ho try to find the bodies of the missing people and chase after the truth behind their deaths.

",Min Yeon Hong,"Go Soo, Role: Kim Wook
Heo Joon Ho, Role: Jang Pan Seok
Ahn So Hee, Role: Lee Jong A
Ha Joon, Role: Shin Joon Ho
Lee Jung Eun, Role: Kang Eun Sil
Kim Dong Hwi, Role: Oh Il Yong","Thriller
 Mystery
 Supernatural",8.8,3535,https://mydramalist.com/696751-missing-the-other-side-2
Punch (2014),2014,South Korea,"Park Jung Hwan is the chief of the anti-corruption investigation team for the Supreme Prosecutors' Office. To get to his position, he has made compromises on achieving justice. Jung Hwan then learns that he has a malignant brain tumor and does not have much time to left. To end his life without regrets, he points a gun at corrupt Public Prosecutor General Lee Tae Jun. Jung Hwan’s ex-wife Shin Ha Gyung, who is also a prosecutor, knows about Jung Hwan’s situation and helps him.

",Lee Myung Woo,"Kim Rae Won, Role: Park Jeong Hwan
Kim Ah Joong, Role: Shin Ha Gyeong
Jo Jae Hyun, Role: Lee Tae Jun
Seo Ji Hye, Role: Choi Yeon Jin
Choi Myung Gil, Role: Yoon Ji Sook [Minister of Justice]
Ohn Joo Wan, Role: Lee Ho Sung","Thriller
 Drama
 Political",8.1,1559,https://mydramalist.com/11642-punch-2014
Chugakusei Nikki (2018),2018,Japan,"This is a love story between Akira Kuroiwa, a 15-year-old boy who knows nothing of love, and Hijiri Suenaga, his new 25-year-old homeroom teacher. One fated summer, Akira begins to realize he has feelings for Hijiri, but Hijiri has a long distance fiancee. The story follows the pair over the course of several years. 

",Tsukahara Ayuko,"Arimura Kasumi, Role: Suenaga Hijiri
Mizukami Koshi, Role: Kuroiwa Akira
Machida Keita, Role: Kawai Shoutarou
Yoshida Yoh, Role: Haraguchi Ritsu
Ono Rina, Role: Iwasaki Runa [Akira’s classmate]
Wakabayashi Jiei, Role: Kokonoe Junichirou [Akira's classmate]","Romance
 Youth
 Drama",8.1,3785,https://mydramalist.com/29908-chugakusei-nikki
Woman of Dignity (2017),2017,South Korea,"Ah Jin has it all;  beauty, wealth, influence and the respect of her father-in-law, the CEO of a paper goods company. To be the caregiver for her wheelchair-bound father-in-law, she hires Bok Ja, who seems perfect for the job if a little dowdy. However, Bok Ja quickly shows her true colors, taking over the family fortune after winning over the CEO's heart and now, his family seeks revenge.

",Kim Yoon Cheol,"Kim Hee Sun, Role: Woo Ah Jin
Kim Sun Ah, Role: Park Bok Ja
Jung Sang Hoon, Role: Ahn Jae Suk
Lee Tae Im, Role: Yoon Sung Hee
Lee Ki Woo, Role: Kang Ki Ho
Yoo Seo Jin, Role: Cha Ki Ok","Thriller
 Mystery
 Romance
 Drama",8.1,2255,https://mydramalist.com/19160-woman-of-dignity
Secret Love (2014),2014,South Korea,"An omnibus romance drama that features five different love stories starring by members of idol group KARA. Themes touched in the drama series involve first love, dating methods in love and breakup, unrequited love and immortal love. ",Lee Jung Sun,"Han Seung Yeon, Role: {Missing You} Min Ji Hye (Ep. 1-2)
Yeon Woo Jin, Role: {Missing You} Jang Hyeon Jin (Ep. 1-2)
Goo Ha Ra, Role: {The Thirteenth Bucket List} Lee Hyun Jung (Ep. 3-4)
Kim Young Kwang, Role: {The Thirteenth Bucket List} Yoon Joon Moon (Ep. 3-4)
Kang Ji Young, Role: {Lilac} Park So Yeol (Ep. 5-6)
Bae Soo Bin, Role: {Lilac}  Hyun Joon (Ep. 5-6)","Romance
 Drama
 Fantasy
 Melodrama",7.5,2075,https://mydramalist.com/10446-secret-love-2014
Sword Snow Stride (2021),2021,China,"Xu Xiao is the King of China’s Northern Liang in an era of great upheaval. Steppe kingdoms have materialized with deadly intent, as rebellious uprisings threatened to destabilize the Southern realm. Against all odds, Xu Xiao managed to defeat them all. During this period, his unconventional, free-spirited heir, Xu Feng Nian, has been on the road, honing his equestrian skills and bolstering his fighting prowess. On his journey, he encounters the double sword-wielding martial artist Nan Gong Pu She, who’s soon to become his confidante.

In the court of Northern Liang is Jiang Ni, a twelve-year-old girl who is actually a princess from a rival kingdom, with a mind for revenge. As Xu Feng Nian ascends the throne, concerns arise, fearing he will be incapable of following in his father’s footsteps. Xu Feng Nian, despite having mounted a decisive campaign, encounters a crisis while en route to a neighboring province. Its outcome could very well determine the entire realm's future. 

",Song Xiao Fei,"Zhang Ruo Yun, Role: Xu Feng Nian
Hu Jun, Role: Xu Xiao
Teresa Li, Role: Jiang Ni
Qiu Xin Zhi, Role: Li Chun Gang
Gao Tai Yu, Role: Ning E Mei
Ding Xiao Ying, Role: Qing Niao","Wuxia
 Drama
 Fantasy
 Melodrama",8.7,4209,https://mydramalist.com/59487-sword-snow-stride
Capture Lover (2020),2020,China,"This drama tells the story of Ding Jun Jie, the deputy general manager of a cosmetics company, and Ying Jia Ming, the son of the cynical chairman of the board. Though the two originally have a tit-for-tat, cat and mouse relationship, they gradually come to know and understand one another.

",Li Yun Ming,"Luigi Zhang, Role: Ding Jun Jie
Han Jing Cheng, Role: Ying Jia Ming
Meng Yue Chen, Role: Jiang Zhi Hao
Xia Ke Xin, Role: Yi Meng Yao
Haiting Jiao, Role: Lucy Zhang","Business
 Romance
 Life
 Drama",6.4,3343,https://mydramalist.com/34231-love-trap
The King's Face (2014),2014,South Korea,"""The King's Face"" tells the story of Prince Gwang Hae, an illegitimate son of King Seon Jo, who suffers since his childhood with the indifference of his father and the constant feeling that he hadn't a place in the palace. Gwang Hae sees himself inside a constant war between his brothers since King Seon Jo didn't have any legitimate son and had to choose between his sons who would be the Crown Prince. Inside all this tension, Gwang Hae finds again an old friend, Kim Ga Hee, which who promised to marry when they were kids. The burden of the responsibility with the people and the will to fulfilling his love put Gwang Hae on a sad path of renunciation who will put everyone against him and also define the future of Joseon.

",Yoon Sung Shik,"Seo In Guk, Role: Prince Gwang Hae
Lee Sung Jae, Role: King Seon Jo
Jo Yoon Hee, Role: Kim Ga Hee
Shin Sung Rok, Role: Physiognomist Kim Do Chi
Kim Gyu Ri, Role: Gwi In Kim [King Seon Jo's royal concubine]
Im Ji Eun, Role: Queen Ui In (King Seon Jo's wife)","Action
 Thriller
 Historical
 Romance",7.5,1506,https://mydramalist.com/8282-the-kings-face
Choco Bank (2016),2016,South Korea,"Kim Eun Haeng is a college graduate entering the workforce. His father made sure to give him a lucky start in life by bestowing him with a name that means money. Eun Haeng (meaning Bank in Korean), along with a young woman named Ha Cho Co who is getting ready to start a business, deal with concerns many in their 20s struggle with when they start working for the first time. The story plays out as the two meet and find out more about the financial service industry. ",Business,"Kai, Role: Kim Eun Haeng
Park Eun Bin, Role: Ha Cho Co
Yun  Joon Suk, Role: Bae Dal Su
Lee Il Hwa, Role: [Eun Haeng's mother]
Park Seo Yeon, Role: Ha Cho Co [Child]
Kim Young Hee, Role: [Cho Co's landlord]","Business
 Comedy
 Romance
 Drama",7.1,5035,https://mydramalist.com/16313-choco-bank
Hello Again! (2019),2019,Taiwan,"One hundred days before the university entrance exams, Chang Ke Ai and Yang Zi Hao made a bet in high school. If they are admitted to the same university, she will carry his schoolbag for an entire year! Unexpectedly she had to give up her dreams of university to pay off a family debt. Ten years later, they are just across the street, but in two different worlds. Yang Zi Hao is an executive vice president of ""Gorgeous Department Store"", while Chang Ke Ai is a street vendor who helps her mother sell clothes at a market.  When they meet again, will they remember the bet from ten years ago? ",Business,"Amber An, Role: Chang Ke Ai
Bruce He, Role: Yang Zi Hao
Sean Lee, Role: Cai Xiao Gang
Chris Chiu, Role: Liang Zi Jie
Oceana Wu, Role: Jian Zhen Yi / ""Jamie""
Stanley Mei, Role: Li Jian [Zi Hao's special assistant]","Business
 Comedy
 Romance",7.7,2738,https://mydramalist.com/32152-hello-again
Till the World Ends (2022),2022,Thailand,"Two young men, Art and Golf, unexpectedly become roommates during the last 13 days before the world's demise. Art, an amnesiac business student, aims to recover his identity amidst government-announced global chaos. Golf, a medical student longing for love, joins Art's quest. As they navigate the impending catastrophe, they form a deep bond while being pursued by ruthless killers. Their complex feelings emerge in the face of imminent doom, knowing their time is limited.

",Aam Anusorn Soisa-ngim,"Art Pakpoom Juanchainat, Role: Art
Willi Arawill Jartonk, Role: Golf
Michael Kiettisak Vatanavitsakul, Role: Gus
Knight Pichayuth Rajitjameekorn, Role: Long
Songklod Kunlachat Cheythong, Role: Joke
Nui Suporn Sangkaphibal, Role: A Ma","Thriller
 Romance
 Sci-Fi",7.1,1902,https://mydramalist.com/714473-till-the-world-ends
Count Your Lucky Stars (2020),2020,China,"Lu Xing Cheng, a legendary figure in the fashion world, is renowned for his impeccable taste and unparalleled success. However, his sharp tongue and arrogance are well-known too. On the flip side is Tong Xiao You, an aspiring fashion designer perpetually plagued by misfortune. Struggling to make ends meet, she's trapped in a cycle of bad luck.

Fate takes a surprising turn when Xing Cheng and Xiao You's paths cross, causing a reversal of fortunes. Xiao You suddenly finds herself in the limelight, while Xing Cheng desperately seeks to break his streak of bad luck. Yet, as they navigate this unexpected twist of fate, they discover that true happiness might lie in a different direction.

",Gao Wei,"Shen Yue, Role: Tong Xiao You
Jerry Yan, Role: Lu Xing Cheng
Wei Zhe Ming, Role: Lu Yan Zhi [Xing Cheng's half-brother]
Jackie Li, Role:  Song Ru Ru [Xiao You's best friend]
Shen Yao, Role: Wen Xi [Model]
Wang Sen, Role: Mu Yang [Show host]","Business
 Comedy
 Romance
 Life
 Drama",7.8,3774,https://mydramalist.com/39181-the-exchange-luck
